N	Domain	Organism	Pathogenicity	Respiration	Environment	Mycotoxin	Removal mechanism	Enzymatic?	Location	Characterization context	Characterization assay	Source	Link	Additional information	Contributor	Contribution date	Curator(s)	Curation date	Curation notes
45	Bacteria	Sphingosinicella microcystinivorans	Non-Pathogenic	Aerobic	Soil	Fumonisin B1	Biotransformation	Yes	Unknown	live culture	HPLC/LC/MS	Jin H, Hiraoka Y, Okuma Y, Hashimoto EH, Kurita M, Anas ARJ, Uemura H, Tsuji K, Harada KI. Microbial Degradation of Amino Acid-Containing Compounds Using the Microcystin-Degrading Bacterial Strain B-9. Mar Drugs. 2018 Feb 6;16(2):50.	https://doi.org/10.3390/md16020050	Strain of bacteria used was B-9- 99% similarity to S. microcystinivorans; can only degrade amino acid containing molecules	Justin Lambright	2021-02-24	Cecilia Chase	2021-03-08	isolated from a lake, degredation by hyrdolitic enzyme designated MlrE, only fully hydrolyzed ochratoxin and decreased levels of fumonisin B1
46	Bacteria	Gluconobacter oxydans	Non-Pathogenic	Aerobic	Food;Soil	Patulin	Biotransformation	Unknown	Unknown	live culture	HPLC/UV/DAD and LC-MS-MS with NMR	Ricelli A, Baruzzi F, Solfrizzo M, Morea M, Fanizzi FP. Biotransformation of patulin by Gluconobacter oxydans. Appl Environ Microbiol. 2007 Feb;73(3):785-92. doi: 10.1128/AEM.02032-06. Epub 2006 Nov 17. PMID: 17114325; PMCID: PMC1800745.	https://doi.org/10.1128/AEM.02032-06	G. oxydans degrades up to 96% of patulin to ascladiol, strain M3 able to degrade the most (400-800 μg/ml))	Cecilia Chase	2021-02-25	Justin Lambright	2021-03-09	Unknown if industrial use of G.oxydans safe for humans. M3 strain able to degrade higher patulin concentrations (400 to 800 μg/ml)
47	Eukarya	Saccharomyces cerevisiae	Opportunistic	Facultative	Animal;Food;Human;Plants;Soil	Fumonisin B1 	Adsorption	No	Unknown	live culture	HPLC	Pizzolitto RP, Salvano MA, Dalcero AM. Analysis of fumonisin B1 removal by microorganisms in co-occurrence with aflatoxin B1 and the nature of the binding process. Int J Food Microbiol. 2012 Jun 1;156(3):214-21. doi: 10.1016/j.ijfoodmicro.2012.03.024. Epub 2012 Mar 28. PMID: 22503712.	https://doi.org/10.1016/j.ijfoodmicro.2012.03.024	Fumonisin B1 and AFB1 bind through weak non-covalent bonds to the cell wall and the binding ability of one toxin both not affected by the presence of the other toxin.	Cecilia Chase	2021-02-25	Justin Lambright	2021-03-09	S. cerevisiae CECT 1891 strain used.Both removal of FB1 and AFB1 analyzed. No competition for binding sites on cell walls. Presence of one toxin did not change efficiency of removal of the other.
48	Eukarya	Saccharomyces cerevisiae	Opportunistic	Facultative	Animal;Food;Human;Plants;Soil	Aflatoxin B1	Adsorption	No	Unknown	live culture	HPLC	Pizzolitto RP, Salvano MA, Dalcero AM. Analysis of fumonisin B1 removal by microorganisms in co-occurrence with aflatoxin B1 and the nature of the binding process. Int J Food Microbiol. 2012 Jun 1;156(3):214-21. doi: 10.1016/j.ijfoodmicro.2012.03.024. Epub 2012 Mar 28. PMID: 22503712.	https://doi.org/10.1016/j.ijfoodmicro.2012.03.024	Fumonisin B1 and AFB1 bind through weak non-covalent bonds to the cell wall and the binding ability of one toxin both not affected by the presence of the other toxin.	Cecilia Chase	2021-02-25	Justin Lambright	2021-03-09	S. cerevisiae CECT 1891 strain used.Both removal of FB1 and AFB1 analyzed. No competition for binding sites on cell walls. Presence of one toxin did not change efficiency of removal of the other.
49	Eukarya	Aspergillus oryzae	Non-Pathogenic	Aerobic	Food;Plants;Soil	Zearalenone	Biotransformation	Yes	Unknown	live culture	HPLC	Brodehl A, Möller A, Kunte HJ, Koch M, Maul R. Biotransformation of the mycotoxin zearalenone by fungi of the genera Rhizopus and Aspergillus. FEMS Microbiol Lett. 2014 Oct;359(1):124-30.	https://doi.org/10.1111/1574-6968.12586	NULL	Justin Lambright	2021-02-25	Cecilia Chase	2021-03-08	2 A. oryzae strains converted zearalenone into metabolites to mask the toxin, HPLC-MS/MS was used to detect metabolites, metabolism and adsoprtion of ZEN were observed
50	Bacteria	Escheria coli CG1061	Non-Pathogenic	Facultative	Animal;Human	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture (in vivo and in vitro)	HPLC	Wang L, Wu J, Liu Z, Shi Y, Liu J, Xu X, Hao S, Mu P, Deng F, Deng Y. Aflatoxin B1 Degradation and Detoxification by Escherichia coli CG1061 Isolated From Chicken Cecum. Front Pharmacol. 2019 Jan 17;9:1548. doi: 10.3389/fphar.2018.01548. PMID: 30705630; PMCID: PMC6344451.	https://doi.org/10.3389/fphar.2018.01548	This strain of E coli is not pathogenic. Extracellular extracts had a much higher rate of degradation compared to intracellular extracts. Degradation rate varied based on heat exposure indicating that the protein responsible is heat-dependent, thus encouraging the prediction that there is an enzyme involved.	Anna Akkara	2021-03-25	Judi Le	2021-04-21	Highest degradation activities of E. coli CG1061 appeared at pH 8.5 and 55°C; this may be useful in isolating/identifying the enzyme involved in the biotransformation or for identifying environments where the enzyme would be most effective at degrading AFB1
51	Bacteria	Pseudomonas aeruginosa M19	Opportunistic	Facultative	Human;Soil;Water	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	HPLC	Juanjuan Song, Shujie Zhang, Yanli Xie, Qian Li, Purification and characteristics of an aflatoxin B1 degradation enzyme isolated from Pseudomonas aeruginosa, FEMS Microbiology Letters, Volume 366, Issue 5, March 2019, fnz034, https://doi.org/10.1093/femsle/fnz034	https://doi.org/10.1093/femsle/fnz034	The boil treatment group retained AFB1-degradation activity, which suggested that the active components may be heat-resistent.	Anna Akkara	2021-03-25	Judi Le	2021-04-21	Enzyme was identified to be extracellular
52	Eukarya	Cladosporium uredinicola	Opportunistic	Aerobic	Soil	Aflatoxin B1	Biotransformation	Yes	Extracellular	extracellular supernatant; liquid culture	HPLC, TLC	Shao, S., Cai, J., Du, X. et al. Biotransformation and detoxification of aflatoxin B1 by extracellular extract of Cladosporium uredinicola . Food Sci Biotechnol 25, 1789–1794 (2016). https://doi.org/10.1007/s10068-016-0272-7	https://doi.org/10.1007/s10068-016-0272-7	After incubating the strain, Aflatoxin was still eliminated and the enzyme was shown to be thermostable/heat-resistant	Anna Akkara	2021-03-25	Judi Le	2021-04-21	Liquid chromatography mass spectrometry also used as a method to characterize the degradation of AFB1
53	Bacteria	Lactobacillus pentosus X8	Non-Pathogenic	Facultative	Food;Human	Fumonisin B1	Adsorption	No	Extracellular	Live culture	ELISA	Zhao, Hongfei & Wang, Xiao & Zhang, Junwen & Zhang, Jun & Bolin, Zhang. (2016). The mechanism of Lactobacillus strains for their ability to remove fumonisins B1 and B2. Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association. 97. 10.1016/j.fct.2016.08.028.	http://dx.doi.org/10.1016/j.fct.2016.08.028	NULL	Samuel Shikora	2021-03-26	Micah Dial	2021-04-17	Check the  citation of the original article; seems to be a different article than the DOI link
54	Bacteria	Lactobacillus pentosus X8	Non-Pathogenic	Facultative	Food;Human	Fumonisin B2	Adsorption	No	Extracellular	Live culture	ELISA	Zhao, Hongfei & Wang, Xiao & Zhang, Junwen & Zhang, Jun & Bolin, Zhang. (2016). The mechanism of Lactobacillus strains for their ability to remove fumonisins B1 and B2. Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association. 97. 10.1016/j.fct.2016.08.028.	http://dx.doi.org/10.1016/j.fct.2016.08.028	NULL	Samuel Shikora	2021-03-26	Micah Dial	2021-04-17	Check the  citation of the original article; seems to be a different article than the DOI link
55	Bacteria	Sphingopyxis sp. MTA144	Non-Pathogenic	Aerobic	Soil;Water	Fumonisin B1	Biotransformation	Yes	Unknown	Isolated enzymes (2) expressed by yeast	PCR, Inverse PCR, an FB1 degradation assay, and a HFB1 deamination assay	Heinl S, Hartinger D, Thamhesl M, Vekiru E, Krska R, Schatzmayr G, Moll WD, Grabherr R. Degradation of fumonisin B1 by the consecutive action of two bacterial enzymes. J Biotechnol. 2010 Jan 15;145(2):120-9. doi: 10.1016/j.jbiotec.2009.11.004. Epub 2009 Nov 14. PMID: 19922747.	https://doi.org/10.1016/j.jbiotec.2009.11.004	This study used 2 genes, fumI and fumD, which encode a carboxylesterase and deaminase, which was cloned into a yeast strain and expressed in the yeast. The article describes deamination as occurring within the sphingopyxis strain but the location of the deesterification step was not described	Samuel Shikora	2021-03-26	Micah Dial	2021-04-17	The oxidative deamination of the hydrolysis product HFB1 by E. spinifera was investigated by TLC and mass spectrometry. The paper mentions the use of PCR, Inverse PCR, FB1 degradation assay, HFB1 deamination assay.
56	Eukarya	Triticum durum	Non-Pathogenic	Aerobic	Plants	Toxin T2	Biotransformation	Yes	Unknown	Live plants	UHPLC-HRMS	Righetti, L., Körber, T., Rolli, E. et al. Plant biotransformation of T2 and HT2 toxin in cultured organs of Triticum durum Desf. Sci Rep 9, 14320 (2019). https://doi.org/10.1038/s41598-019-50786-w	https://doi.org/10.1038/s41598-019-50786-w	Biotransformation occurs in several organs via glycosylation of T2 and HT2, and acetylation of HT2	Samuel Shikora	2021-03-26	Micah Dial	2021-04-17	T2 and HT2 absorbed via symplast may encounter enzymes that prevent the toxins from getting into the xylem, by turning them in substances easily segregated in vacuoles or in the apoplast of parenchimatous root cells
57	Eukarya	Triticum durum	Non-Pathogenic	Aerobic	Plants	Toxin Ht2	Biotransformation	Yes	Unknown	Live plants	UHPLC-HRMS	Righetti, L., Körber, T., Rolli, E. et al. Plant biotransformation of T2 and HT2 toxin in cultured organs of Triticum durum Desf. Sci Rep 9, 14320 (2019). https://doi.org/10.1038/s41598-019-50786-w	https://doi.org/10.1038/s41598-019-50786-w	Biotransformation occurs in several organs via glycosylation of T2 and HT2, and acetylation of HT2	Samuel Shikora	2021-03-26	Micah Dial	2021-04-17	T2 and HT2 absorbed via symplast may encounter enzymes that prevent the toxins from getting into the xylem, by turning them in substances easily segregated in vacuoles or in the apoplast of parenchimatous root cells
58	Bacteria	Devosia mutans	Non-Pathogenic	Aerobic	Soil	Deoxynivalenol	Biotransformation	Yes	Unknown	Cell-free protein extracts	LC-MS/MS	Hassan, Y.I., He, J.W., Perilla, N. et al. The enzymatic epimerization of deoxynivalenol by Devosia mutans proceeds through the formation of 3-keto-DON intermediate. Sci Rep 7, 6929 (2017). https://doi.org/10.1038/s41598-017-07319-0	https://doi.org/10.1038/s41598-017-07319-0	The enzymes that perform biotranformation and their respective mechanisms are not identified, yet it is known that they utilize NADPH and the chemical alterations that they make are known	Samuel Shikora	2021-03-26	Micah Dial	2021-04-17	The epimerization of DON to 3-epi-DON requires NADP(H), indicating the involvement of dehydrogenases/oxidoreductases in the process.
59	Eukarya	Arabidopsis thaliana	Non-Pathogenic	Aerobic	Plants;Soil	Deoxynivalenol	Biotransformation	Yes	Unknown	cell free protein extracts	HPLC, TLC,	Poppenberger B, Berthiller F, Lucyshyn D, Sieberer T, Schuhmacher R, Krska R, Kuchler K, Glössl J, Luschnig C, Adam G. Detoxification of the Fusarium mycotoxin deoxynivalenol by a UDP-glucosyltransferase from Arabidopsis thaliana. J Biol Chem. 2003 Nov 28;278(48):47905-14. doi: 10.1074/jbc.M307552200. Epub 2003 Sep 11. PMID: 12970342.	https://doi.org/10.1074/jbc.M307552200	NULL	Anna Akkara	2021-03-31	Judi Le	2021-04-21	Arabidopsis thaliana UDP-glucosyltransferase was cloned by functional expression in yeast; allowed phenotypic detection of detoxification activity by simple plate assay
60	Bacteria	Lactobacillus rhamnosus	Non-Pathogenic	Facultative	Human	Deoxynivalenol	Biotransformation	No	Extracellular	Live culture	HPLC	V. Niderkorn,  H. Boudra,  D.P. Morgavi; Binding of Fusarium mycotoxins by fermentative bacteria in vitro.	https://doi.org/10.1111/j.1365-2672.2006.02958.x	Indicates that binding at the bacterial cell wall is the mechanism of removal of mycotoxins by LAB	Jack Dennehy	2021-04-03	Rebecca Klausner	2021-04-21	I did not see where it said the experiment was conducted under aerobic/anaerobic conditions. Also shares data for fumonisin removal.
61	Eukarya	Aspergillus niger	Pathogenic	Aerobic	Food;Plants;Soil	Ochratoxin A	Adsorption	No	Intracellular	Live culture	HPLC	H. Bejaoui, F. Mathieu, P. Taillandier, and A. Lebrihi; Conidia of Black Aspergilli as New Biological Adsorbents for Ochratoxin A in Grape Juices and Musts	https://doi.org/10.1021/jf051029v	Adsorption phenomenon of OTA on conidia of black aspergilli could be related to hydrophobic interactions	Jack Dennehy	2021-04-03	Rebecca Klausner	2021-04-21	This paper investigates 3 strains with some ability to remove the toxin
62	Eukarya	Pichia Pastoris	Non-Pathogenic	Aerobic	Food;Plants;Soil	Zearalenone	Adsorption	Yes	Intracellular	Live culture	HPLC, Bicinchoninic Acid Protein Assay	Xiaojiao Chang, Hujun Liu, Jing Sun, Jun Wang, Chengcheng Zhao, Wan Zhang, Jie Zhang, and Changpo Sun; Zearalenone Removal from Corn Oil by an Enzymatic Strategy	https://doi.org/10.3390/toxins12020117	No obvious change in total tocopherols and sterols after enzymatic detoxification was detected when compared with neutralized oil	Jack Dennehy	2021-04-03	Rebecca Klausner	2021-04-21	Can also add that this provides a safe removal with corn oil (not toxic)
63	Eukarya	Aspergillus oryzae	Non-Pathogenic	Aerobic	Food;Plants;Soil	Deoxynivalenol	Biotransformation	Yes	Extracellular	live culture	gas chromatography and flame ionization detector	Garda-Buffon, Jaqueline, Kupski, Larine, & Badiale-Furlong, Eliana. (2011). Deoxynivalenol (DON) degradation and peroxidase enzyme activity in submerged fermentation. Food Science and Technology, 31(1), 198-203.	https://doi.org/10.1590/S0101-20612011000100030	Article also talks about Rhizopus oryzae in addition to the organism I have selected	Stephanie Li	2021-04-05	Theresa Fallon	2021-04-20	Typically found in soil from rice or rice plant specifically, paper also dicusses Rhizopus oryzae
64	Bacteria	Stenotrophomonas maltophilia	Opportunistic	Aerobic	Animals;Food;Human;Plants;Soil;Water	Aflatoxin B1	Biotransformation	Yes	Unknown	live culture with supernatent , liquid culture	HPLC, fluorescence detector	Guan S, Ji C, Zhou T, Li J, Ma Q, Niu T. Aflatoxin B1 Degradation by Stenotrophomonas Maltophilia and Other Microbes Selected Using Coumarin Medium. International Journal of Molecular Sciences. 2008; 9(8):1489-1503.	https://doi.org/10.3390/ijms9081489	Study looked at intracellular cell extracts and supernatent. Identification of enzyme is still necessary . Proteinase K, proteinase K plus SDS and heating significantly reduced or eradicated the degradation activity of the culture supernatant.	Stephanie Li	2021-04-05	Theresa Fallon	2021-04-20	Also found on surface of human skin, hospital environments, and respiratory and GI tracts. Fluorescence detector used in addition to HPLC.
65	Eukarya	Yarrowia lipolytica	Opportunistic	Aerobic	Human;Plants;Soil;Water	Ochratoxin A	Biotransformation	Yes	Intracellular	live culture	LC‐MS/MS, HPLC-FLD assay	Zhang, X., Yang, H., Apaliya, M., Zhao, L., Gu, X., Zheng, X., Hu, W. and Zhang, H. (2018), The mechanisms involved in ochratoxin A elimination by Yarrowia lipolytica Y‐2. Ann Appl Biol, 173: 164-174.	https://doi.org/10.1111/aab.12452	OTA was degraded to OTα by the hydrolysis activity of carboxypepetidases. studies show that it is not absorption by the cell wall. Many proteins are also invovled in the degradation process.	Stephanie Li	2021-04-05	Theresa Fallon	2021-04-20	Yarrowia lipolytica can grow in hydrophobic environments and therefore can metabolize triglycerides and fatty acids for carbon. Paper also claims use of HPLC‐FLD assay.
66	Eukarya	Rhizopus stolonifer	Opportunistic	Facultative	Food;Soil	Ochratoxin A	Biotransformation	Yes	Unknown	Live culture	TLC, HPLC	Varga, J., Péteri, Z., Tábori, K., Téren, J., & Vágvölgyi, C. (2005). Degradation of ochratoxin A and other mycotoxins by rhizopus isolates. International Journal of Food Microbiology, 99(3), 321-328. doi:https://doi.org/10.1016/j.ijfoodmicro.2004.10.034	https://doi.org/10.1016/j.ijfoodmicro.2004.10.034	Additional studies are needed to determine specifically which enzymes take part in the detoxification process, and to identify the genes necessary for OTA degradation	Judi Le	2021-04-06	Anna Akkara	2021-04-21	Rhizopus isolates were able to degrade more than 95% of ochratoxin A within 16 days
67	Eukarya	Pleurotus ostreatus	Non-Pathogenic	Aerobic	Plants	Aflatoxin B1	Biotransformation	Yes	Extracellular	Isolated enzyme culture	TLC, HPLC	Motomura, M., Toyomasu, T., Mizuno, K., & Shinozawa, T. (2003). Purification and characterization of an aflatoxin degradation enzyme fromPleurotus ostreatus. Microbiological Research, 158(3), 237-242. doi:https://doi.org/10.1078/0944-5013-00199	https://doi.org/10.1078/0944-5013-00199	Fluorescence measurements suggest that the enzyme cleaves the lactone ring of AFB1 which normally causes carcinogenic effects	Judi Le	2021-04-06	Anna Akkara	2021-04-21	The apparent molecular mass of the purified enzyme was estimated to be 90 kDa by SDS-PAGE. Optimum activities were found in the pH range between 4.0 and 5.0 and at 25°C.
68	Bacteria	Bacillus cereus	Opportunistic	Facultative	Food;Soil	Zearalenone	Biotransformation	Yes	Unknown	Live culture	ELISA	Wang Y, Zhang J, Wang Y, Wang K, Wei H, Shen L. Isolation and characterization of the Bacillus cereus BC7 strain, which is capable of zearalenone removal and intestinal flora modulation in mice. Toxicon. 2018 Dec 1;155:9-20. doi: 10.1016/j.toxicon.2018.09.005. Epub 2018 Sep 26. PMID: 30267721.	https://doi.org/10.1016/j.toxicon.2018.09.005	Further research/determination of the end-metabolite of ZEN would help elucidate the ZEN degradation pathway by B. cereus	Judi Le	2021-04-06	Anna Akkara	2021-04-21	Only can remove Zen efficiently in simulated medium of gastric acid. Reduced ZEN degradation at low pHs suggest enzymatic activity
69	Eukarya	Clonostachys rosea	Opportunistic	Aerobic	Plants;Soil	Zearalenone	Biotransformation	Yes	Extracellular	Live culture	HPLC	Kosawang C, Karlsson M, Vélëz H, Rasmussen PH, Collinge DB, Jensen B, Jensen DF. Zearalenone detoxification by zearalenone hydrolase is important for the antagonistic ability of Clonostachys rosea against mycotoxigenic Fusarium graminearum. Fungal Biol. 2014 Apr;118(4):364-73. doi: 10.1016/j.funbio.2014.01.005. Epub 2014 Feb 12. PMID: 24742831.	https://doi.org/10.1016/j.funbio.2014.01.005	NULL	Judi Le	2021-04-06	Anna Akkara	2021-04-21	Zhd101 was the specific gene isolated for the function of degrading Zearalenone. Knock out mutants of C. rosea (Δzhd101) were unable to detoxify ZEA.
70	Bacteria	Escherichia coli	Pathogenic	Facultative	Animal;Human	Fumonisin B1	Adsorption	No	Unknown	In vitro	PCR	Oswald, Isabelle P., et al. ""Mycotoxin fumonisin B1 increases intestinal colonization by pathogenic Escherichia coli in pigs."" Applied and Environmental Microbiology 69.10 (2003): 5870-5874.	https://doi.org/10.1128/AEM.69.10.5870-5874.2003	FB1 inhibits ceramide synthase activity, which leads to disruption of sphingolipid metabolism	Micah Dial	2021-04-06	Samuel Shikora	2021-04-22	Check on the removal mechanism - the article doesn't mention yeast. Also - Article states that alkaline phosphatase is a measure of FB1 levels, not a biotransformative enzyme
71	Eukarya	Saccharomyces cerevisiae	Opportunistic	Facultative	Animal;Food;Human;Plants;Soil	Zearalenone	Adsorption	No	Unknown	live culture	UHPLC-DAD/FLD	Wall-Martínez HA, Pascari X, Bigordà A, Ramos AJ, Marín S, Sanchis V. The fate of Fusarium mycotoxins (deoxynivalenol and zearalenone) through wort fermenting by Saccharomyces yeasts (S. cerevisiae and S. pastorianus). Food Res Int. 2019 Dec;126:108587. doi: 10.1016/j.foodres.2019.108587. Epub 2019 Jul 29. PMID: 31732066.	https://doi.org/10.1016/j.foodres.2019.108587	Contents of yeast cell wall bind to ZEN and 4.5-31.25% was adsorbed, but in wort 31-72% of ZEN was removed.	Cecilia Chase	2021-04-07	Justin Lambright	2021-04-22	Important to note that the ZEN toxin was removed in wort between 31 and 72%, and the toxin adsorbed to S.cervisiae  ranged between 4.5 and 31.3%. Shows not all toxin was adsorbed by yeast. Likely extracellular mechanism, but unknown.
72	Eukarya	Saccharomyces pastorianus	Opportunistic	Facultative	Food	Deoxynivalenol	Adsorption; Biotransformation	Yes	Unknown	live culture	LC–TQ–MS/MS and LC–QTOF–MS/MS	Nathanail AV, Gibson B, Han L, Peltonen K, Ollilainen V, Jestoi M, Laitila A. The lager yeast Saccharomyces pastorianus removes and transforms Fusarium trichothecene mycotoxins during fermentation of brewer's wort. Food Chem. 2016 Jul 15;203:448-455. doi: 10.1016/j.foodchem.2016.02.070. Epub 2016 Feb 10. PMID: 26948637.	https://doi.org/10.1016/j.foodchem.2016.02.070	analyses of metabolites by LC–QTOF–MS/MS showed mycotoxin conjugates and acetylation was found as the main biotransformation pathway	Cecilia Chase	2021-04-07	Justin Lambright	2021-04-22	S. pastorianus is likely an opportunistic pathogen, as it is part of the Saccharomyces genus. Main removal mechanism discussed is adsorbtion. LC–QTOF–MS(/MS) analysis used along with LC–TQ–MS/MS.
73	Bacteria	Pediococcus parvulus	Non-Pathogenic	Anaerobic	Food	Ochratoxin	Biotransformation	Yes	Intracellular	In vitro	HPLC	Luís Abrunhosa, António Inês, Ana I. Rodrigues, Ana Guimarães, Vânia L. Pereira, Pier Parpot, Arlete Mendes-Faia, Armando Venâncio, Biodegradation of ochratoxin A by Pediococcus parvulus isolated from Douro wines, International Journal of Food Microbiology, Volume 188, 2014, Pages 45-52, ISSN 0168-1605, https://doi.org/10.1016/j.ijfoodmicro.2014.07.019.	https://doi.org/10.1016/j.ijfoodmicro.2014.07.019	They investigate adsorption methods as well, but they were less successful. Strains mediate OTA biodegradation under anaerobic conditions, may be suitable as silage inoculants or as feed additives	Rebecca Klausner	2021-04-07	Jack Dennehy	2021-04-22	strains mediate OTA biodegradation under anaerobic conditions, may be suitable as silage inoculants or as feed additives
74	Bacteria	Lactobacillius plantarum	Non-Pathogenic	Anaerobic	Animal;Food	Zearalenone	Adsorption; Biodegradation	Yes	Unknown	live culture and supernatant fractions	HPLC	Chen SW, Hsu JT, Chou YA, Wang HT. The application of digestive tract lactic acid bacteria with high esterase activity for zearalenone detoxification. J Sci Food Agric. 2018 Aug;98(10):3870-3879. doi: 10.1002/jsfa.8904. Epub 2018 Mar 1. PMID: 29364505.	https://doi.org/10.1002/jsfa.8904	Observed differences in strains of Lactobacillius plantarums' use of carbon sources, no biotransformants were present and reduction in mycotoxin was by biodegredation. All strains did show binding of toxin to cell wall. Strain B2 had the highest ZEA degrading activity, decreasing ZEA by 52%. All strains showed binding of ZEA to cell wall and biodegredation by esterase	Cecilia Chase	2021-04-07	Justin Lambright	2021-04-22	Lactobacillius plantarum is also found in saliva and food products. B2 strain had highest degredation ability while D10 strain showed fast binding, but was released in stationary phase.
75	Bacteria	Sterptomyces spp.	Pathogenic	Aerobic	Soil	Aflotoxin B1	Biotransformation	Yes	Intracellular	in vitro	BLYSE,ELISA,HPLC	Péter Harkai, István Szabó, Mátyás Cserháti, Csilla Krifaton, Anita Risa, Júlia Radó, Adrienn Balázs, Kinga Berta, Balázs Kriszt, Biodegradation of aflatoxin-B1 and zearalenone by Streptomyces sp. collection, International Biodeterioration & Biodegradation, Volume 108, 2016, Pages 48-56, ISSN 0964-8305, https://doi.org/10.1016/j.ibiod.2015.12.007.	https://doi.org/10.1016/j.ibiod.2015.12.007	Streptomyces cacaoi subsp. asoensis strain degraded AFB1 over 88% and Streptomyces rimosus almost completely degraded zearalenone. Due to antibiotics production, Streptomyces strains cannot be used in biodegradation methods as a member of inocula but do produce degrading enzymes that could be a promising solution.	Rebecca Klausner	2021-04-07	Jack Dennehy	2021-04-22	Due to antibiotics production, Streptomyces strains cannot be used in biodegradation methods as a member of inocula
76	Bacteria	Sterptomyces spp.	Pathogenic	Aerobic	Soil	Zearalone	Biotransformation	Yes	Intracellular	in vitro	BLYSE,ELISA,HPLC	Péter Harkai, István Szabó, Mátyás Cserháti, Csilla Krifaton, Anita Risa, Júlia Radó, Adrienn Balázs, Kinga Berta, Balázs Kriszt, Biodegradation of aflatoxin-B1 and zearalenone by Streptomyces sp. collection, International Biodeterioration & Biodegradation, Volume 108, 2016, Pages 48-56, ISSN 0964-8305, https://doi.org/10.1016/j.ibiod.2015.12.007.	https://doi.org/10.1016/j.ibiod.2015.12.007	Streptomyces cacaoi subsp. asoensis strain degraded AFB1 over 88% and Streptomyces rimosus almost completely degraded zearalenone. Due to antibiotics production, Streptomyces strains cannot be used in biodegradation methods as a member of inocula but do produce degrading enzymes that could be a promising solution.	Rebecca Klausner	2021-04-07	Jack Dennehy	2021-04-22	Due to antibiotics production, Streptomyces strains cannot be used in biodegradation methods as a member of inocula
77	Bacteria	Paradevosia shaoguanensis	Non-Pathogenic	Aerobic	Soil	Deoxynivalenol	Biotransformation	Unknown	Unknown	live culture	HPLC-MS	Wang Y, Zhang HH, Zhao C, Han YT, Liu YC, Zhang XL. Isolation and characterization of a novel deoxynivalenol-transforming strain Paradevosia shaoguanensis DDB001 from wheat field soil. Lett Appl Microbiol. 2017 Nov;65(5):414-422. doi: 10.1111/lam.12790. Epub 2017 Sep 19. PMID: 28799167.	https://doi.org/10.1111/lam.12790	Paradevosia shaoguanensis DDB001 was the specific strain studied, the strain transformed deoxynivalenon into the less toxic form: 3‐epi‐deoxynivalenol (3‐epi‐DON). Can remove 200 mg/L of DON in complete growth medium. Unknown if process is enzymatic and future study is necessary to determine	Cecilia Chase	2021-04-08	Justin Lambright	2021-04-22	First study to show that Paradevosia has biotransformation ability. Has no mention if enzymatic/intra/extracellular, future studies still need to be completed.
78	Bacteria	Bacterial Consortium SAAS79	Pathogenic	Aerobic	Soil	Fumonisin B1	Biotransformation	Yes	Intracellular	in vitro	HPLC	Zhao, Z., Zhang, Y., Gong, A. et al. Biodegradation of mycotoxin fumonisin B1 by a novel bacterial consortium SAAS79. Appl Microbiol Biotechnol 103, 7129–7140 (2019). https://doi.org/10.1007/s00253-019-09979-6	https://doi.org/10.1007/s00253-019-09979-6	The bacterial consortium came from mushrooms. Pseudomonas was found to be highly responsibile for the mycotoxin degradation. Mechanism is not entirely clear but doth enzyme degradation and adsorption are possible mechanism	Rebecca Klausner	2021-04-08	Jack Dennehy	2021-04-22	Major mechanism of microbial detoxification is attributed to either the adsorption or enzyme action
79	Eukarya	Rhodotorula mucilaginosa	Pathogenic	Aerobic	Food	Patulin	Biotransformation	Yes	Intracellular	live culture	SDS-PAGE,Nano LC-ESI-MS/MS Analysis	Hui Tang, Xiaohong Li, Fang Zhang, Xianghong Meng, Bingjie Liu, Biodegradation of the mycotoxin patulin in apple juice by Orotate phosphoribosyltransferase from Rhodotorula mucilaginosa, Food Control, Volume 100, 2019, Pages 158-164, ISSN 0956-7135, https://doi.org/10.1016/j.foodcont.2019.01.020.	https://doi.org/10.1016/j.foodcont.2019.01.020	The enzyme was serated from the bacteria and used seperately.  the increase of amino acid concentration may owe to the degradation of Orotate phosphoribosyltransferase.	Rebecca Klausner	2021-04-08	Jack Dennehy	2021-04-22	the increase of amino acid concentration may owe to the degradation of Orotate phosphoribosyltransferase
80	Bacteria	Lactobacillus mesenteroides	Opportunistic	Facultative	Food	Aflatoxin G1	Biotransformation	No	Extracellular	live culture	chromatography (densitometer)	Danial, EN, Lamfon, MY, Alghamdi, LA, Alamri, AM, Alghamdi, MS, Alghamdi, SA. Remove of aflatoxin G1 using lactic acid bacteria. J Food Process Preserv. 2021; 45:e15090.	https://doi.org/10.1111/jfpp.15090	Experiment compared ten lactic acid bacteria. Mechinism of degradation focused on cell binding.	Theresa Fallon	2021-04-08	Stephanie Li	2021-04-21	It seems like the study didn't identify whether the mechanism of degradation was biotransformation or absorption. It only really looked at the binding aspect.
